,moqual,faqual,admingrade,eduspecneeds,prevgrade,ownschshp,prevqual,displaced,debtor,paidfeetodate,gender,secsemgrade,target,course
42,1,3,100.6,1,103,0,1,1,0,1,0,14.34285714,1,9500
43,1,38,121.4,0,120,0,1,0,0,0,0,13.8,0,9773
44,37,37,109.7,0,133.1,0,1,0,0,1,0,0,0,9991
46,19,19,127.6,0,130,0,1,1,0,1,0,13.2,1,9238
47,37,19,132.4,0,132,1,1,1,0,1,0,13.77142857,1,9500
48,1,19,133.4,0,130,1,39,0,0,1,0,13.28571429,1,8014
49,37,38,126.1,0,139,1,1,0,0,1,0,12.83333333,1,9238
50,19,38,113.5,0,130,1,1,0,0,1,0,14.16666667,1,9254
53,37,37,159.3,0,167,0,1,0,0,1,0,15.8,1,9130
54,38,38,120,0,130,0,1,0,0,1,0,11,0,9991
55,1,19,129.1,0,130,0,1,1,0,1,0,13.595,1,9500
56,1,3,130,0,130,0,3,0,0,1,0,0,0,9254
57,3,3,155.3,0,129,0,40,1,0,1,0,12.9,0,9130
58,38,38,139.8,0,141,0,1,1,0,1,0,14.935,1,9500
60,19,19,114.9,0,125,0,1,0,0,1,0,12.22142857,1,9500
61,19,1,131.9,0,130,1,39,0,0,1,0,12,1,9238
65,1,1,126,0,133.1,0,19,1,0,1,1,11,0,9500
66,19,19,128.2,0,139,1,1,1,0,1,1,0,1,171
67,19,37,130,0,130,0,39,1,0,1,1,12.42857143,1,9003
68,1,38,120.1,0,125,0,1,0,1,1,1,10.75,0,9147
71,37,19,130.8,0,150,0,1,0,0,1,1,13.75,1,9500
72,19,19,135.8,0,141,0,1,1,0,1,1,0,0,171
73,38,37,111.7,0,118,0,1,1,0,1,1,12,0,9254
74,38,38,132.9,0,142,0,1,1,0,1,1,12.33333333,1,9773
75,19,19,115.5,0,120,0,1,1,1,1,1,10.85714286,0,9147
76,19,37,106,0,106,1,1,1,0,1,1,11,0,9254
77,1,19,120.3,0,121,1,1,1,1,1,1,13.33333333,1,9773
78,38,37,130.8,0,150,1,1,0,0,1,1,15.05555556,1,9500
79,37,37,117,0,120,0,1,0,0,1,1,11.66666667,1,8014
80,19,19,110.2,0,114,0,1,1,0,1,1,12.2,0,9853
81,3,3,155.7,0,140,0,2,1,0,1,1,0,0,9991
82,3,3,180.4,0,160,0,4,0,1,1,1,13.3,0,9003
84,37,37,110,0,130,0,1,1,0,1,0,11,1,8014
85,37,38,161,0,160,1,1,1,0,1,0,13.08,1,9500
86,1,19,100,0,120,1,1,0,0,1,0,11.6,1,9670
87,19,38,117.6,0,124,0,1,1,0,1,1,11.2,1,9070
90,1,1,100.8,0,133.1,0,1,0,0,1,1,0,0,9500
91,19,1,105,0,133.1,0,1,1,0,0,0,13.5,1,9773
92,1,1,100,0,133.1,0,1,0,0,1,0,0,0,9130
93,37,34,115.5,0,133.1,0,10,0,0,1,0,0,0,9853
94,37,19,114,0,133.1,0,1,0,0,1,0,12.33333333,1,8014
96,37,1,124.9,0,135,0,1,1,0,1,0,13.33333333,1,9773
97,37,37,120.3,0,132,1,1,1,0,1,0,14.47777778,1,9500
99,3,3,111.5,0,115,0,1,1,1,0,0,0,0,9500
100,38,38,128.8,0,130,0,42,0,0,1,0,13.4,0,9085
101,1,1,110,0,133.1,0,1,1,0,1,0,0,1,171
102,37,37,113.5,0,130,0,1,1,0,1,0,0,0,8014
103,37,37,160,0,133.1,0,12,0,0,1,0,14.23076923,1,9003
104,19,19,117.4,0,123,0,1,1,0,1,0,0,0,9853
105,3,1,122.2,0,130,0,1,0,1,1,0,12.27272727,1,9070
106,37,38,118.2,0,122,0,1,1,0,1,0,0,0,9238
107,1,1,106.7,0,113,0,1,1,0,1,0,13.25,0,9085
108,3,4,108.2,0,111,0,1,1,0,1,0,12.3,0,9500
110,37,37,136.1,0,142,0,1,1,0,1,0,15,1,9238
112,19,19,139.8,0,131,0,1,1,0,1,0,12.8,1,9085
113,1,38,157,0,158,0,1,1,0,1,0,12.57142857,1,9773
114,37,37,131,0,122,0,1,1,0,1,0,12.51666667,0,9500
118,37,38,137,0,140,0,1,0,0,1,0,11.4,1,9085
119,2,19,121.8,0,127,0,1,0,0,1,0,14,1,9147
120,1,1,131,0,133.1,0,1,1,0,1,0,11,0,9254
121,19,19,118.6,0,120,0,1,1,0,1,0,11.25,1,9147
122,3,19,122.3,0,137,0,1,0,0,1,0,0,0,171
123,38,38,127.9,0,131,1,1,0,0,1,0,14.2,1,9670
124,19,38,121.3,0,130,0,1,1,0,1,0,12.2,1,9085
125,1,1,117.1,0,122,0,1,1,0,1,0,0,0,9556
126,37,37,160,0,160,0,39,1,0,1,0,13.77777778,1,9085
128,1,39,122.6,0,131,0,1,1,0,1,0,13.66666667,1,9238
129,1,37,128,0,132,0,1,1,0,1,0,15.01111111,1,9500
130,19,19,124.9,0,138,1,1,1,0,1,0,13.74285714,0,9500
131,37,37,123.7,0,130,0,1,1,0,1,0,13,1,9070
132,1,19,120.1,0,126,0,1,1,0,1,0,14.6,1,9147
133,1,19,131.7,0,148,0,1,1,0,1,0,0,0,9500
134,38,37,133.2,0,130,0,1,0,0,1,0,11.71428571,1,9238
135,1,38,109.3,0,117,1,1,0,1,0,0,12.5,0,9670
136,19,19,113,0,120,0,1,1,0,1,0,11.5,1,9670
137,1,1,157.9,0,153,1,1,0,1,1,0,14.83333333,1,9773
139,19,1,174.7,0,178,0,1,0,0,1,0,17.5875,1,9500
140,37,37,128.8,0,129,0,1,1,0,1,0,12.66666667,1,9500
141,19,1,110.1,0,116,1,1,1,0,1,0,12,1,9773
143,1,12,121,0,135,1,1,1,0,1,0,11.5,1,9238
144,19,19,131.7,0,141,1,1,1,0,1,0,12.33125,1,9500
145,37,38,119.1,0,132,1,1,1,0,1,0,10.8,1,9853
146,12,19,124.7,0,132,0,1,1,0,1,0,0,0,9254
147,1,37,117.2,0,113,0,1,1,0,1,0,11.66666667,0,9254
148,3,19,128.8,0,134,0,1,0,0,1,0,14.16666667,1,9147
149,1,19,131.5,0,136,1,1,0,0,1,0,14.17857143,1,9500
151,1,38,123.4,0,129,0,1,0,0,1,0,13.4,1,9085
153,37,37,132.8,0,137,0,1,1,0,1,0,11.8,1,9853
154,3,37,108.7,0,115,0,1,1,0,1,0,10,0,9853
155,38,37,138.1,0,129,0,1,0,0,1,0,11.5,0,9853
156,38,38,126.5,0,131,1,1,0,0,1,0,11.8,1,9147
157,1,37,127.4,0,133,1,1,1,0,1,0,11.85714286,1,9238
158,19,1,123.6,0,125,0,1,1,0,1,0,11.83333333,1,9238
159,1,19,122,0,120,1,1,0,0,1,0,12.6,1,8014
160,19,1,118.2,0,128,0,1,0,0,1,0,13,0,9670
161,19,37,123.9,0,127,1,1,1,0,1,0,12.76111111,1,9500
162,19,19,125.8,0,134,0,1,1,0,1,0,15.355,1,9500
163,12,12,123.3,0,132,0,1,1,0,1,0,11,0,9853
164,1,19,124.4,0,124,0,1,0,0,1,0,14.2,1,9670
165,19,37,126,0,133.1,1,1,0,0,1,0,13,1,9773
167,19,19,121.5,0,125,0,1,0,0,1,0,11,1,9238
168,2,2,130,0,130,0,3,0,0,1,0,14.25714286,1,9500
169,19,19,117,0,125,0,1,1,0,1,0,11.33333333,0,9238
171,37,37,108,0,133.1,0,1,0,0,1,0,13.5625,1,9556
172,2,38,132.3,0,131,0,1,1,0,1,0,11.68333333,1,9500
173,19,2,148,0,150,0,1,0,0,1,0,12,1,8014
174,37,37,122.6,0,125,0,1,1,1,0,0,13.16666667,0,9254
176,37,19,102.5,0,130,0,1,0,0,1,0,12,1,9853
177,34,34,113.3,0,123,0,1,1,0,1,0,11.95,0,9500
178,37,19,133,0,141,0,1,1,0,1,0,10.4,0,9853
179,1,1,140,0,140,0,3,0,0,1,0,14.58333333,0,9500
180,3,1,128.3,0,140,0,1,1,0,1,0,12.78947368,1,9853
182,19,19,104,0,133.1,0,19,0,1,0,0,0,0,9773
183,1,37,122.3,0,131,0,1,1,0,0,0,0,0,9070
184,1,19,135,0,143,0,1,0,0,1,0,0,0,9254
185,3,3,119.1,0,132,0,1,1,1,0,0,10.57142857,0,9147
187,38,1,129,0,141,1,1,1,0,1,0,13.05,1,9500
188,1,19,162.3,0,133.1,0,1,1,0,1,0,0,0,9085
189,1,3,163.4,0,148,0,1,1,0,1,0,12,1,9070
190,19,38,121.5,0,125,1,1,0,0,1,0,12.5,1,9254
192,12,3,118,0,140,0,1,1,0,1,0,0,0,9147
193,1,1,134,0,139,0,1,0,0,1,0,0,0,9853
194,38,38,129.8,0,142,0,1,1,0,1,0,12.24285714,1,9500
195,19,1,152,0,130,0,40,1,0,1,0,0,0,9991
196,37,37,122.8,0,126,0,1,1,0,1,0,12.93375,1,9500
197,3,2,150,0,150,0,3,0,0,1,0,0,0,9119
198,19,19,131.8,0,130,0,1,0,0,1,0,14.42857143,1,9853
200,1,1,132.1,0,138,0,1,1,0,1,0,14.33333333,1,9085
201,19,19,127.4,0,127,0,1,1,0,1,0,11.33333333,1,9238
202,19,19,129.5,0,140,0,1,1,0,1,0,12.32428571,1,9500
203,38,38,126.7,0,130,0,39,0,1,1,0,11.71428571,1,9238
204,19,37,116.5,0,128,1,1,0,0,1,0,11.25,1,9238
205,34,34,119.1,0,132,0,1,1,0,1,0,10.75,1,9238
206,19,38,126.5,0,149,0,1,1,0,1,0,12.91428571,1,9500
207,3,19,149.8,0,155,1,1,1,0,1,0,14.16666667,1,9773
208,19,1,115.1,0,120,0,1,1,0,1,0,13.4,1,9085
209,3,19,124.5,0,133.1,1,19,0,0,1,0,12.8,0,9254
210,38,1,128.3,0,131,1,1,1,0,1,0,12.64285714,1,9500
211,37,37,136,0,149,1,1,0,0,1,0,12.91666667,1,9500
212,1,3,140,0,140,1,1,1,0,1,0,15.85714286,1,9130
213,37,37,126.3,0,133.1,1,1,0,0,1,0,0,0,9991
214,1,1,126.9,0,122,0,1,0,0,1,0,12,1,9773
216,19,3,115.8,0,121,1,1,1,0,1,0,11.6,1,9147
217,19,37,100,0,120,0,1,1,0,1,0,0,0,8014
218,1,19,102.5,0,133.1,1,1,0,0,1,0,0,0,8014
219,19,37,131.5,0,121,0,1,0,0,1,0,13.5,0,9085
220,38,38,147,0,133,1,1,0,0,1,0,12.33333333,1,9147
221,37,37,122.5,1,134,1,1,0,0,1,0,14.5,1,9853
222,1,1,117.5,0,115,0,1,1,0,1,0,12.5,0,9254
223,19,1,150,0,127,1,1,0,0,1,0,12.19285714,1,9500
224,1,38,127.5,0,135,1,1,1,0,1,0,14.9125,1,9500
225,40,5,140,0,140,0,43,0,0,1,0,15.8,1,9991
226,1,4,130,0,130,0,3,0,0,1,0,13.8,1,9147
227,1,1,133.3,0,135,1,1,0,0,1,0,12.85714286,1,9238
228,34,34,97,0,140,0,1,1,0,1,0,0,0,9670
229,1,1,112,0,120,1,1,1,0,1,0,11.57142857,1,9500
230,1,37,123.6,0,140,0,1,1,0,1,0,12.66666667,1,9254
231,19,19,130.5,0,133.1,0,3,0,0,1,0,0,0,9254
232,1,3,133.3,0,135,0,1,0,0,1,0,13.2,1,9670
233,1,37,132.1,0,123,1,1,0,0,1,0,12,1,9254
234,37,1,100,0,133.1,0,1,0,0,1,0,15,0,9147
235,38,37,140.4,0,154,1,1,0,0,1,0,13,1,9238
236,19,19,141.7,0,148,1,1,0,0,1,0,13.16666667,1,9853
237,37,37,119.7,1,133,1,1,0,0,1,0,11.57142857,1,9238
238,19,1,122.5,0,126,0,1,1,0,0,0,14.25,0,9130
239,19,19,140,0,133.1,0,19,0,1,0,0,10.33333333,0,9085
242,37,19,119.1,0,118,1,1,1,0,1,0,13.6,1,9147
243,37,1,122.7,0,120,0,1,0,0,0,0,0,0,9147
244,38,19,117.9,0,127,1,1,0,0,1,0,12.36363636,1,9147
245,19,38,130,0,130,0,3,0,0,1,0,13.22,1,9500
246,19,37,120,0,129,1,1,1,0,1,0,13.15142857,1,9500
247,37,37,130,0,130,0,39,0,1,0,0,11.33333333,0,9003
248,19,37,116.8,0,121,0,1,1,0,1,0,12.25,1,9254
249,19,1,123.4,0,136,1,1,1,0,1,0,14.14285714,1,9670
251,38,37,127.2,0,131,1,1,1,0,1,0,12.83333333,0,9773
252,9,19,103.4,0,122,0,1,0,0,1,0,13,1,9085
254,1,1,124.1,0,136,0,1,0,0,1,0,10.8,1,9147
255,38,37,99.5,0,133.1,1,19,1,1,0,0,0,0,9556
256,37,37,124.9,0,127,0,40,0,0,1,0,12.33333333,1,9991
258,1,1,118.9,0,121,1,1,1,0,1,0,12.66666667,1,9238
259,1,1,118.8,0,124,0,1,1,1,0,0,13,0,9238
260,37,38,137,0,131,1,1,0,0,1,0,10.6,1,9254
261,37,37,100,0,100,0,1,0,0,1,0,0,0,8014
262,37,38,120,0,130,0,1,0,1,0,0,12.16666667,0,9119
263,1,1,122.8,0,135,0,1,0,0,1,0,14,1,9238
264,38,19,121.6,0,130,0,1,0,0,1,0,12,1,9238
265,3,1,149.2,0,146,0,1,1,0,1,0,11.66666667,1,9773
266,4,1,140,0,146,0,1,1,0,1,0,14.82857143,1,9500
267,38,38,133.4,0,154,1,1,1,0,1,0,12.8,1,9773
268,37,37,126.2,0,137,1,1,1,0,1,0,12.5,1,9070
269,1,1,127.8,0,151,1,1,0,0,1,0,13.67142857,1,9500
270,37,38,150,0,150,1,39,0,0,1,0,12.8,1,9003
271,1,19,113.7,0,121,0,1,1,0,0,0,13,0,9147
272,12,19,117.8,0,122,0,1,1,0,1,0,12.33333333,1,9147
273,5,1,136.7,0,143,0,1,0,0,1,0,13.55,1,9500
274,1,38,144.7,0,152,0,1,0,0,1,0,15.42857143,1,9238
275,12,1,139.8,0,145,0,1,1,0,1,0,15.3875,1,9500
276,37,38,113.7,0,120,0,1,0,0,1,0,10.66666667,0,9853
277,5,4,140,0,140,0,3,0,1,0,0,13.2,0,9130
279,19,19,119.6,0,129,1,1,1,0,1,0,13.81285714,1,9500
280,38,37,123.7,0,139,1,1,1,0,1,0,11.4,1,9147
281,39,19,143,0,133.1,1,1,1,0,1,0,14.16666667,1,8014
282,37,37,100.1,0,127,0,1,0,0,1,0,13.8,1,9991
283,19,37,119.4,0,126,1,1,0,0,1,0,12.83333333,1,9070
284,38,38,122.1,0,128,0,1,0,0,1,0,11.85714286,1,8014
285,1,1,100,0,100,0,12,0,0,1,0,13.83333333,1,9773
287,34,1,101,0,170,0,15,0,0,1,0,11.5,1,8014
288,3,1,111.8,0,117,1,1,1,0,1,0,11.5,1,8014
289,3,3,140,0,140,0,1,1,0,1,0,13.385,1,9500
290,19,19,124.4,0,123,0,1,1,0,1,0,14.5,1,9085
291,19,37,150,0,150,1,39,0,1,1,0,13.83333333,1,9003
293,19,19,116,0,123,1,1,1,0,1,0,11.66666667,1,9238
294,38,37,135.6,0,130,1,1,1,0,1,0,11.33333333,0,9070
295,3,38,121,0,137,1,1,0,0,1,0,14.72571429,1,9500
296,19,38,118.7,0,126,1,1,1,0,1,0,13.66666667,1,9773
297,1,1,125.7,0,125,0,1,1,0,1,0,12.33333333,1,9238
298,1,1,107.1,0,112,0,1,1,0,1,0,13.1375,1,9556
299,19,38,125.5,0,141,0,1,0,0,1,0,12.86,1,9500
300,38,38,127,0,135,0,1,1,0,1,0,13.71428571,1,9670
301,38,37,113.5,0,117,1,1,1,0,1,0,12.2,1,9085
302,19,19,154.4,0,160,1,1,0,0,1,0,16.16888889,1,9500
303,19,19,122,0,136,0,1,0,1,0,0,10.25,0,9670
304,1,11,128,0,143,0,1,1,0,1,0,0,0,9238
306,1,19,117.2,0,120,0,1,1,0,1,0,14.6,1,9670
307,3,1,150,0,150,0,3,1,0,1,0,0,0,9130
308,11,11,155.3,0,142,0,1,0,0,1,0,13.2,1,9085
309,37,37,120,0,120,0,39,1,1,0,0,11,0,9130
310,3,19,116.1,0,160,0,1,0,1,1,0,15.14285714,1,9238
311,34,34,118.9,0,133.1,0,1,1,0,1,0,11.33333333,0,9853
312,19,19,127.3,0,142,1,1,0,0,1,0,11.8,1,9147
313,38,38,113.7,0,121,1,1,1,0,1,0,13.66666667,1,9853
314,1,1,118.5,0,135,0,1,0,0,1,0,0,0,9147
315,1,38,146.7,0,153,0,1,0,0,1,0,16.4,1,9147
316,19,19,124.3,0,140,1,1,1,0,1,0,14.88181818,1,9500
317,41,19,137.8,0,152,0,1,0,0,1,0,14.35555556,1,9500
318,19,38,130.2,0,120,1,1,0,0,1,0,11.85714286,1,9238
320,19,19,150,0,150,0,40,0,1,0,0,0,0,9085
321,37,37,100,0,100,1,1,1,0,1,0,13.05857143,1,9500
322,1,1,155.6,0,150,0,1,0,0,1,0,14.05555556,1,9500
323,37,37,117.4,0,124,0,1,0,0,1,0,12,1,9147
325,19,19,117.5,0,121,0,1,1,0,1,0,11.66666667,1,9254
326,1,37,120.4,0,134,0,6,1,0,1,0,13.33333333,1,9500
327,1,1,130.9,0,134,0,1,0,1,1,0,11,1,9238
331,19,37,151,0,151,0,39,0,1,1,0,0,0,9119
332,38,38,103.5,0,107,0,1,1,0,1,0,13,1,9238
333,37,38,119.4,0,126,0,1,0,0,1,0,11.66666667,1,8014
334,34,37,134.4,0,133,1,1,1,0,1,0,13.66666667,1,9238
335,38,37,143,0,140,0,39,0,0,1,0,14.66666667,1,9238
336,41,3,110,0,110,0,40,0,1,1,0,14.57142857,1,9853
337,38,38,132.5,0,141,1,1,1,0,1,0,13.39125,1,9500
338,3,1,114.7,0,122,0,1,0,0,1,0,12.42857143,1,9238
339,2,9,166.9,0,156,0,1,0,0,1,0,12.5,1,9130
341,3,3,178.3,0,188,0,1,1,0,1,0,0,0,171
342,37,37,117,0,120,0,1,1,0,1,0,12.85714286,1,8014
343,3,3,150,0,130,0,3,0,0,1,0,13.1,1,9003
345,19,19,135.1,0,140,0,1,1,0,1,0,12.5,1,9773
347,37,37,136.2,0,133.1,0,1,0,0,1,0,11.66666667,1,9991
348,37,37,116,0,120,0,1,0,0,1,0,13.83333333,1,9238
350,19,19,116.3,0,117,0,1,1,0,1,0,11.5,0,9254
351,19,19,134,0,123,1,1,0,0,1,0,13.33333333,1,9773
352,1,1,124.2,0,127,0,1,1,0,0,0,0,0,171
353,37,38,134.5,0,151,1,1,0,1,1,0,14.2,1,9500
354,19,19,120.7,0,127,0,1,0,1,0,0,0,0,9254
355,19,1,127.1,0,133,0,1,1,0,1,0,16.42857143,1,9085
356,38,37,133,0,133.1,0,19,0,0,1,0,13.44285714,1,9500
357,37,37,128.2,0,133.1,0,1,0,0,1,0,0,0,9991
359,3,39,172,0,160,0,43,0,0,1,0,0,0,9085
360,19,38,128.5,0,140,0,1,1,0,1,0,11.83333333,1,9853
361,37,38,128.5,0,146,0,1,0,1,1,0,10,0,9773
363,19,37,142.5,0,140,1,42,1,0,1,0,13.71428571,1,9085
365,37,38,106,0,133.1,1,1,1,0,1,0,15.75,1,9085
366,19,38,125.5,0,136,1,1,1,0,1,0,14.03333333,1,9500
368,38,37,112.9,0,122,1,1,1,0,1,0,13.66666667,1,9853
369,19,19,124.8,0,138,0,1,1,0,1,0,13.41428571,0,9500
370,37,39,140.9,0,160,0,1,0,0,1,0,13.57142857,1,8014
372,1,19,148.4,0,161,1,1,0,0,1,0,14.42857143,1,9773
373,1,37,129.7,0,140,0,1,0,0,1,0,12.85714286,1,9991
374,38,38,128.2,0,133.1,0,19,0,0,1,0,0,0,9085
376,37,37,119.9,0,130,0,1,1,0,0,0,0,0,9147
377,1,1,141,0,152,1,1,1,0,1,0,15.2875,1,9500
380,38,19,140,0,133.1,1,19,0,0,1,0,10.97857143,0,9500
383,19,19,117,0,125,1,1,0,0,1,0,13.16666667,1,9853
384,3,4,140.2,0,140,0,42,0,0,1,0,11.11111111,1,9147
385,34,34,129.3,0,124,0,1,0,0,1,0,11.16666667,1,9238
386,37,37,145.3,0,140,0,1,0,0,1,0,12.33333333,1,9853
387,37,37,146.2,0,130,0,3,0,0,1,0,12,1,9991
389,37,37,156.1,0,160,1,39,0,0,1,0,14.16666667,1,8014
392,30,37,128.4,0,141,0,1,1,1,0,0,11.4,0,9773
393,1,1,115,0,120,0,1,0,0,0,0,12.33333333,0,9085
394,1,19,158.7,0,166,0,1,0,0,1,0,14,1,9085
395,1,1,124.5,0,147,1,1,1,0,1,0,12.86,1,9500
396,3,19,111.9,0,121,0,1,1,0,1,0,12,1,9238
397,38,37,150,0,150,1,39,1,0,1,0,12,1,9085
398,37,19,114.2,0,124,0,1,1,1,1,0,13.71428571,0,9670
399,38,37,96,0,96,0,1,1,0,1,0,0,0,9147
404,37,37,131.3,0,142,0,1,1,0,1,0,14.73142857,1,9500
405,1,19,137.1,0,135,0,1,1,0,1,0,0,1,171
406,1,19,120,0,120,0,40,1,0,1,0,14.25,1,9070
407,1,19,139,0,140,0,40,0,0,1,0,14.8,1,9991
408,1,19,129.1,0,135,0,1,0,0,1,0,14.57142857,1,9238
409,34,34,128.2,0,133.1,0,1,0,0,1,0,0,0,9085
410,19,19,120.8,0,137,1,1,1,0,1,0,14.65428571,1,9500
411,19,1,135.8,0,122,0,3,0,0,1,0,12.40142857,1,9500
412,1,1,118.9,0,128,0,1,1,0,1,0,14.07142857,1,9500
413,37,37,140,0,140,0,40,0,0,1,0,15.6,1,9991
414,1,38,127.1,0,132,1,1,1,0,1,0,11.83333333,1,9238
415,37,37,137,0,131,0,1,0,0,1,0,15.4,1,9085
416,1,1,127.4,0,126,0,1,1,0,1,0,12.375,1,9085
417,19,19,97,0,133.1,0,1,1,0,1,0,11,0,9853
418,37,37,126.3,0,136,1,1,1,0,1,0,11.6,1,9500
419,1,19,127.5,0,140,0,1,0,0,1,0,0,0,9500
420,2,1,126.6,0,135,1,1,0,0,1,0,13.09444444,1,9500
421,1,2,120,0,160,0,1,0,0,1,0,14.8,1,9991
422,1,2,140,0,140,0,39,1,0,1,0,0,0,9085
423,3,1,131.5,0,140,0,1,1,0,1,0,13.25375,1,9500
424,19,2,112.2,0,115,0,1,1,0,1,0,14.1,1,9556
425,37,37,150.5,0,144,0,1,0,0,1,0,13.91666667,1,9500
426,38,38,121,0,128,0,1,1,0,1,0,13.57142857,1,9670
428,19,1,129.4,0,135,0,1,1,0,1,0,0,0,9085
429,19,38,114.4,0,121,0,1,0,0,1,0,14.6,1,9670
430,37,38,120.3,0,134,1,1,1,0,1,0,12.08285714,1,9500
431,37,37,120,0,120,1,1,0,0,1,0,12.8,1,8014
432,38,38,114.5,0,125,1,1,1,0,1,0,12.4,1,9147
433,1,1,127.8,0,141,1,1,0,0,1,0,0,0,9500
434,1,19,124.6,0,140,0,1,1,0,1,0,14.57142857,1,9773
435,19,19,130.3,0,144,1,1,1,0,1,0,13.81428571,1,9500
437,19,37,118.8,0,130,1,1,0,0,1,0,13.66666667,1,9670
438,9,1,133,0,133.1,0,1,1,0,1,0,0,0,9670
439,37,37,129,0,133.1,0,19,1,0,1,0,11.3,1,9500
442,19,38,132.5,0,136,0,1,1,0,1,0,12.3,1,9500
443,19,19,120.3,0,127,1,1,1,0,1,0,12.69428571,1,9500
444,19,19,114.6,0,123,0,1,0,0,1,0,11,1,9670
445,37,19,116.5,0,128,1,1,1,0,1,0,14.16666667,1,9238
446,3,1,127.8,0,128,1,1,0,0,1,0,16.05,1,9500
447,1,19,129.9,0,140,0,1,1,0,1,0,14.0625,0,9500
448,1,19,118.9,0,121,0,1,1,0,1,0,12.8,1,9773
450,38,37,114.8,0,126,0,1,1,0,1,0,14.40285714,1,9500
451,37,37,123,0,135,1,1,1,0,1,0,13.38142857,1,9500
452,19,19,122.1,0,131,0,1,1,0,1,0,13.98375,1,9500
453,19,37,123.7,0,140,0,1,0,0,1,0,12.6,1,9085
455,34,34,114.8,0,130,0,1,0,0,1,0,11,1,8014
456,38,37,130,0,130,0,3,0,0,1,0,0,0,9003
457,37,19,122.3,0,140,0,1,0,0,1,0,12,0,9853
458,1,19,152.4,0,130,0,1,1,0,1,0,14.09090909,1,9003
459,37,37,120.1,0,125,1,1,0,0,1,0,13.33333333,1,9773
460,3,3,155.1,0,160,0,1,1,0,1,0,14.6,1,9130
461,19,19,124.5,0,130,1,1,0,0,1,0,13.45454545,1,9070
462,3,1,126.9,0,144,0,1,0,0,1,0,10.5,1,9238
463,3,1,153.2,0,133.1,0,19,1,1,1,0,12.2,1,9147
465,3,3,135,0,133.1,0,1,0,0,1,0,10.8,0,8014
467,34,34,125.2,0,129,1,1,0,0,1,0,13.26666667,1,9238
468,19,38,141.3,0,144,1,1,1,0,1,0,13.31,1,9500
469,37,37,117.1,0,120,1,1,1,0,1,0,12.2,1,9238
470,1,37,126.5,0,144,1,1,1,0,1,0,13.48714286,1,9500
471,19,38,120.1,0,132,1,1,0,0,1,0,11.83333333,1,9254
472,38,19,128.4,0,142,0,1,0,0,1,0,12.83333333,0,9670
473,19,19,140,0,136,0,1,1,0,1,0,13.96666667,1,9500
474,34,34,110,0,133.1,0,9,1,0,0,0,0,0,9254
475,1,19,116.8,0,122,0,1,1,0,1,0,12.8,1,9670
476,19,19,104.5,0,133.1,0,1,1,0,1,0,0,0,9556
477,34,34,140,0,140,0,3,0,0,1,0,0,0,9500
478,3,1,113.2,1,117,0,1,0,0,1,0,13.225,1,9500
480,1,1,123.8,0,136,0,1,0,0,1,0,14.0375,1,9500
